id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
101087,"Flat "" Chiesa Rossa2 in Milan",530151,Vincenzo,,STADERA,45.43048,9.18285,Entire home/apt,80,3,8,2019-01-19,0.09,1,289
101550,"S. Siro - Bright, quiet & close to everywhere",531941,Iacopo,,S. SIRO,45.4761,9.12187,Private room,17,90,51,2017-07-05,0.60,2,361
102817,Open Space Loft Navigli Area Milano,512747,Paolo Maurizio,,S. CRISTOFORO,45.44421,9.15065,Entire home/apt,70,2,450,2019-03-31,4.99,3,237
105082,Bright Room in a Charming Flat,194148,MariaVittoria,,BUENOS AIRES - VENEZIA,45.48064,9.20778,Private room,75,2,9,2017-04-07,0.09,2,359
107529,Cosy room close to Udine metro stop,194790,Paola,,PARCO LAMBRO - CIMIANO,45.49103,9.23254,Private room,31,1,57,2019-03-18,0.62,4,357
109384,Design apartment Wifi Fiera Mico,564830,Giovanni,,WASHINGTON,45.46378,9.15653,Entire home/apt,79,1,137,2019-03-09,1.43,1,318
122514,Brand new appartment in Milan,613760,Marco,,GIAMBELLINO,45.44908,9.15089,Entire home/apt,70,2,41,2019-02-24,0.43,1,351
126648,Appartamento Zona Navigli,628093,Silvia,,NAVIGLI,45.44784,9.16028,Entire home/apt,100,2,14,2018-02-25,0.30,1,362
132705,Montenero Studio Apartment,391011,Simone & Vera,,GUASTALLA,45.45934,9.20609,Entire home/apt,70,4,43,2015-10-02,0.46,1,286
136364,Romantic Room: Milano Bella B&B,667647,Martin,,BUENOS AIRES - VENEZIA,45.47679,9.20788,Private room,110,1,2,2012-10-03,0.02,3,89
138071,Milan Navigli 1 bedroom flat quaint,674434,Max,,NAVIGLI,45.4518,9.16995,Entire home/apt,98,3,61,2019-01-02,0.65,1,169
140134,"My house is your house, (and also my piano)!",144021,Silvia&Max,,XXII MARZO,45.46573,9.20793,Private room,54,1,215,2019-04-07,2.26,3,79
140874,Experience a 3 level house in Milan,685839,Serena,,ISOLA,45.49466,9.18541,Private room,45,1,118,2018-02-13,1.26,2,317
141833,Sweet Penthouse @ 5 minutes from Duomo,689467,Ilaria,,DUOMO,45.46022,9.18279,Entire home/apt,200,2,79,2018-04-22,0.88,4,90
142784,downtown ONLY for WOMEN  subway wi-fi SINGLE ROOM,693290,Alessandra,,PADOVA,45.50364,9.22199,Private room,41,1,123,2018-11-10,1.33,1,23
143329,Home 21  Central MI -Corso Buenos Aires-Terrace,695509,Sonia,,BUENOS AIRES - VENEZIA,45.48193,9.21507,Entire home/apt,53,2,48,2019-03-22,1.22,2,251
143674,Sunny Room + Private Bath in Milan,682510,Gio,,ISOLA,45.48825,9.18273,Private room,35,3,182,2018-10-28,1.94,1,40
155720,matrimoni red room on Canals center,748765,Bruna,,NAVIGLI,45.44657,9.16734,Private room,40,1,126,2019-03-23,1.47,4,169
157335,Romantic Elegant Design Apt@Milan,755618,Katia Syilvia,,CORSICA,45.4659,9.2246,Entire home/apt,75,2,13,2018-04-23,0.15,1,253
161605,Green private room and bath,773109,Monica,,ORTOMERCATO,45.45661,9.22402,Private room,130,3,2,2012-09-18,0.02,2,364
169871,B&B Milano Bella: Relax in Town,667647,Martin,,BUENOS AIRES - VENEZIA,45.47662,9.20643,Private room,110,1,5,2015-10-06,0.06,3,87
170685,renting room in my flat in Milan,739190,Alessandro,,ROGOREDO,45.43419,9.24493,Private room,22,2,0,,,1,363
171017,"CHARMING TERRACE FLAT, 15MIN CENTRE",815807,Katia,,LORETO,45.49538,9.21626,Entire home/apt,45,3,256,2019-04-07,3.11,1,268
172600,Stay at 100m from FieraMilanoCity,819192,Elena,,DE ANGELI - MONTE ROSA,45.48148,9.14697,Entire home/apt,60,1,23,2019-02-04,0.26,1,129
176613,Milan in family,844645,Francesco,,GUASTALLA,45.47098,9.20612,Private room,40,3,273,2019-02-24,2.95,1,282
179348,B|b apartment in Milan,759685,Laura,,BOVISA,45.50012,9.16811,Entire home/apt,65,1,10,2016-10-02,0.23,2,0
180626,1 Bedroom Apt close to Navigli Area,138138,Milano Short Term Rent Di Andrea,,TIBALDI,45.44053,9.17756,Entire home/apt,59,2,80,2018-08-21,0.88,24,125
181682,Bedroom+bathroom_Milan City Centre,870800,Ana,,VIGENTINA,45.45682,9.19396,Private room,80,1,90,2019-01-26,0.96,2,291
181914,Old fashion Classica-Milano House,574635,Paolo,,S. CRISTOFORO,45.44427,9.15443,Entire home/apt,400,2,118,2018-08-19,2.01,1,2
186531,Cheaper triple room + BREAKFAST,896505,Edy,,GHISOLFA,45.49204,9.16744,Private room,180,1,0,,,1,365
189441,A cozy loft in Milan fully equipped,913914,Edoardo,,BOVISASCA,45.51623,9.15689,Private room,30,1,106,2019-03-22,1.21,1,167
189457,Bright Openspace in city centre,913985,Sonia,,WASHINGTON,45.46224,9.16019,Entire home/apt,96,2,34,2018-04-21,0.37,1,362
190321,"brand new apt, italian design,70mq",419912,Yasha,,BANDE NERE,45.4571,9.14999,Entire home/apt,40,2,1,2011-09-07,0.01,1,0
205299,Navigli Loft Room with Private Bathroom,28868,Chiara,,TIBALDI,45.43886,9.18005,Private room,38,2,202,2019-04-09,3.32,1,116
206450,"Porta Romana, it's so Milan",930535,Francesco,,PORTA ROMANA,45.45126,9.20779,Entire home/apt,90,3,94,2018-09-25,1.02,1,309
214100,bilocale in zona signorile-università cattolica,500753,Laura,,WASHINGTON,45.45797,9.1534,Entire home/apt,65,3,0,,,1,176
215775,Comfortable and quiet apartment,1113851,Giovanni,,BUENOS AIRES - VENEZIA,45.47318,9.22089,Entire home/apt,75,3,10,2015-10-26,0.11,1,88
217238,Stanza Navigli  Solari Washington,1121964,Angela,,TORTONA,45.45562,9.15531,Private room,70,2,18,2018-02-08,0.20,1,355
217471,"Secluded Oasis, Centre of Milano",258482,David,,XXII MARZO,45.46378,9.21116,Entire home/apt,240,1,4,2015-04-17,0.05,1,363
218253,MILANO CENTRO_EASYCHIC IN DOWNTOWN!,1128693,Simona,,WASHINGTON,45.46219,9.15963,Entire home/apt,81,2,18,2018-04-18,0.20,2,315
218379,AMAZING LOFT NAVIGLI - PRIVATE ROOM,962865,Melissa,,NAVIGLI,45.45083,9.17193,Private room,90,1,8,2018-03-31,0.14,3,58
219701,Double bedroom in a 3 level apt,685839,Serena,,ISOLA,45.49466,9.18665,Private room,45,1,29,2017-12-23,0.31,2,316
219950,Big room/bathroom in 70's style,1139820,Alberto,,LORENTEGGIO,45.45564,9.1219,Private room,65,2,103,2019-03-25,1.13,1,273
222900,pretty apt-navigli-expo,1157462,Sabrina,,NAVIGLI,45.44822,9.15929,Entire home/apt,70,30,53,2018-11-01,0.58,1,193
223611,Cozy & quite apartment in Navigli district Magolfa,1162539,Paolo,,NAVIGLI,45.44996,9.1741,Entire home/apt,65,3,90,2019-02-25,1.02,4,207
224860,LUMINOSA ED ACCOGLIENTE MANSARDA (ZONA NAVIGLI),1117061,Brando,,TICINESE,45.44524,9.17833,Entire home/apt,70,3,13,2017-04-10,0.14,1,301
225757,Glam Apartment in Navigli Area,138138,Milano Short Term Rent Di Andrea,,TICINESE,45.4472,9.17946,Entire home/apt,75,2,124,2018-06-20,1.65,24,330
226939,A corner of London in Milan,1183857,Nello,,VILLAPIZZONE,45.49832,9.14647,Private room,70,2,4,2015-10-25,0.09,1,223
227032,Extraordinary flat + private garden,1184388,Alex,,CITTA' STUDI,45.4834,9.23291,Entire home/apt,250,7,10,2016-04-17,0.11,1,365
229880,central apartment with retro style.,1201013,Alessandro,,ISOLA,45.48983,9.18704,Entire home/apt,70,1,44,2018-10-21,0.49,1,365
233795,Luxury B&B Antica Brera,1224206,Antonia,,BRERA,45.4724,9.18603,Entire home/apt,700,1,72,2018-10-31,0.90,5,111
234090,Nice double room in Milan Downtown,1225428,Mariagrazia,,BUENOS AIRES - VENEZIA,45.47469,9.20564,Private room,40,1,115,2019-02-22,1.28,3,100
234244,"Charming Nest, Central, Fiber-Optic",1138330,Elena,,TICINESE,45.45734,9.17871,Entire home/apt,290,2,127,2019-03-17,1.41,2,353
237667,B&B MEDA,1245824,Lucia,,TIBALDI,45.44109,9.17884,Private room,30,1,316,2019-03-26,5.19,1,103
241305,MILAN AREA VICTORY ROOM FOR RENT,1266505,Nicoletta,,UMBRIA - MOLISE,45.4529,9.21602,Private room,35,1,57,2019-04-08,0.78,1,305
253394,B&B in Comfort Room!,1296566,Heinz,,GRATOSOGLIO - TICINELLO,45.40726,9.17282,Private room,27,365,220,2018-10-01,2.44,1,223
255104,Charming boutique apartment @ Duomo,1280906,Carla,,DUOMO,45.46171,9.18815,Entire home/apt,250,1,126,2017-09-23,1.40,1,363
255543,Stanza Blu in Milan - Navigli Area,1342941,Andrea,,TICINESE,45.44314,9.17991,Private room,30,1,212,2019-03-24,2.42,1,350
256390,"QUIET, ELEGANT, CENTRAL, PERFECT FOR FAIR",510832,Fabia,,BUENOS AIRES - VENEZIA,45.46995,9.21773,Entire home/apt,135,3,6,2018-10-17,0.08,1,266
256399,APARTMENT - VIA RIPAMONTI - MILAN,1348719,Claudio,,PORTA ROMANA,45.44679,9.19871,Entire home/apt,80,2,8,2018-12-04,0.09,2,282
258000,44suite - Joy - central train station,502750,Silvano,,CENTRALE,45.48538,9.20285,Entire home/apt,90,1,229,2019-04-10,2.72,4,363
260869,"Double/twin room near metrò, with use of kitchen.",1368856,Juana Benita,,LORETO,45.49182,9.22186,Private room,55,1,11,2018-06-22,0.16,4,136
260873,"10' FROM CENTER WITH METRO, (WITH USE OF KITCHEN)",1368856,Juana Benita,,LORETO,45.49138,9.22025,Private room,50,1,53,2019-03-24,0.62,4,161
260875,APARTMENT NEAR THE PARK AND METRò,1368856,Juana Benita,,LORETO,45.49543,9.22232,Entire home/apt,80,1,20,2019-02-25,0.24,4,136
270700,Lovely apartment in the center,1416922,Laura,,LORETO,45.48894,9.21777,Entire home/apt,90,1,8,2013-09-24,0.09,6,100
271845,APARTMENT PIAZZA DUOMO MILANO,1422647,Anna,,DUOMO,45.46241,9.18664,Entire home/apt,100,1,377,2019-03-19,4.29,5,220
272886,Apartment Tiffany - Duomo square,1428106,Marco Antonio,,DUOMO,45.46511,9.19374,Entire home/apt,280,1,19,2018-10-01,0.60,21,244
272888,Duomo Open Space - facing Duomo !,1428106,Marco Antonio,,DUOMO,45.46538,9.1893,Entire home/apt,320,1,28,2019-01-21,0.95,21,215
272890,Duomo Studio - facing Duomo !,1428106,Marco Antonio,,DUOMO,45.46319,9.18796,Entire home/apt,240,1,0,,,21,244
272892,Duomo One Bedroom - facing Duomo!,1428106,Marco Antonio,,DUOMO,45.46465,9.18794,Entire home/apt,290,1,3,2019-01-04,0.11,21,240
272894,Apartment GALLE' - Duomo square,1428106,Marco Antonio,,DUOMO,45.46372,9.19396,Entire home/apt,220,1,0,,,21,239
272896,Duomo Split Level - facing Duomo !,1428106,Marco Antonio,,DUOMO,45.4647,9.18734,Entire home/apt,290,1,37,2019-03-15,1.64,21,197
273873,Apartment Fiorichiari - Duomo area,1428106,Marco Antonio,,DUOMO,45.46427,9.1933,Entire home/apt,220,1,10,2018-09-23,0.29,21,0
274830,Nice flat in center perfect for 2,1416922,Laura,,LORETO,45.48861,9.21677,Entire home/apt,100,3,0,,,6,101
274889,Mary's home,1437217,Maria,,BUENOS AIRES - VENEZIA,45.47813,9.20678,Entire home/apt,200,2,159,2018-08-08,1.86,1,184
277082,Delightful apartment in Milan,1138267,Silvia,,MACIACHINI - MAGGIOLINA,45.49739,9.19419,Entire home/apt,70,2,31,2019-02-21,0.37,1,363
279531,Central Double room with bath. ,1225428,Mariagrazia,,BUENOS AIRES - VENEZIA,45.47589,9.20681,Private room,85,1,0,,,3,100
281710,Corso Venezia Senato Quiet penthouse,1468401,Danny,,GUASTALLA,45.46872,9.19938,Entire home/apt,84,2,44,2019-03-24,1.42,1,303
284449,Cute attic for romantic people,237347,Juliette Elodie,,BUENOS AIRES - VENEZIA,45.48347,9.21507,Entire home/apt,59,4,173,2016-12-27,1.94,1,285
287030,AtticCozy-With Rooftop Terrace,1493251,Simon,,BUENOS AIRES - VENEZIA,45.48071,9.21308,Entire home/apt,100,2,21,2018-10-22,0.24,2,353
289063,Lovely apt near Duomo Cathedral!!!,542989,Matteo,,GUASTALLA,45.46646,9.20098,Entire home/apt,45,30,7,2017-09-01,0.09,1,307
295777,"charming flat in the city centre,",1527021,Lorenzo,,BUENOS AIRES - VENEZIA,45.47404,9.20742,Entire home/apt,70,2,37,2017-10-12,0.43,1,332
295967,Deliziosa abitazione per soggiorni,1527458,Antonietta,,BOVISASCA,45.51462,9.16111,Private room,45,1,22,2019-03-03,0.26,1,362
297007,"beautiful , bright and  cozy comfortable bedroom!!",1531776,Rosibel,,GARIBALDI REPUBBLICA,45.4825,9.18386,Private room,45,1,269,2019-04-08,3.17,1,314
300780,Il GIARDINO PRIVATO DI MILANO,1549375,Norma,,VILLAPIZZONE,45.49123,9.15243,Entire home/apt,90,5,5,2017-03-16,0.08,2,343
301889,Vintage House in Milan Downtown with 5 bedrooms,1225428,Mariagrazia,,BUENOS AIRES - VENEZIA,45.47624,9.2065,Entire home/apt,450,2,22,2019-02-21,0.31,3,282
303469,Your next cozy retreat in Milano!,1562078,Cinzia E Massimo,,BANDE NERE,45.45949,9.14966,Entire home/apt,70,31,8,2018-01-02,0.09,2,307
304050,Good starting point to discover Mi,1566887,Elena,,XXII MARZO,45.45879,9.21426,Private room,35,1,198,2019-03-12,2.47,2,220
304921,Single Sofabed 8' from Central St.,493149,Giò,,MACIACHINI - MAGGIOLINA,45.49758,9.19371,Shared room,21,1,48,2019-04-06,0.61,2,87
306348,"FLAT LARGE NEAR CENTER  IED,NABA,BOCCONI,IULM",820389,Nadia,,TIBALDI,45.44074,9.18093,Entire home/apt,85,1,2,2018-04-22,0.15,2,361
309905,"Navigli LOFT, with private garden",1593809,Elisa,,TICINESE,45.44291,9.17741,Entire home/apt,100,2,49,2018-09-20,0.57,1,315
312428,"Funky, 70s-Style Retro Apartment",1606102,Simone,,TICINESE,45.4497,9.17912,Entire home/apt,143,5,16,2019-01-01,0.22,1,230
314620,SV18B - Very nice flat close to Sant'Ambrogio,1616668,Andrea,,MAGENTA - S. VITTORE,45.45815,9.1746,Entire home/apt,99,3,7,2018-09-25,0.08,4,173
317024,Home feeling in Milan Porta Venezia,1625508,Davide,,BUENOS AIRES - VENEZIA,45.47867,9.206,Private room,70,1,2,2015-09-27,0.02,1,0
323241,New apartment in the center,1654941,Claudia,,DUOMO,45.46094,9.18728,Entire home/apt,110,2,91,2019-03-18,1.06,2,350
323556,Cozy apartment in the center - Dome,1654941,Claudia,,DUOMO,45.4622,9.18665,Entire home/apt,110,2,103,2019-03-08,1.32,2,343
326190,Stunning flat in classic Milan,1647950,Celia,,SARPI,45.48064,9.18215,Entire home/apt,58,4,11,2016-12-31,0.14,1,314
326369,Milano Fiera Business and Congress,1185102,Stefano,,PORTELLO,45.48253,9.15379,Entire home/apt,85,3,4,2012-09-03,0.05,1,130
327452,Ampio bilocale DUOMO milano WI FI,1673794,Angelo,,DUOMO,45.46137,9.18791,Entire home/apt,100,1,5,2014-12-22,0.06,1,362
329927,"Camera matrimoniale ""Red""",1683833,Chica,,CENTRALE,45.48985,9.20313,Private room,60,7,0,,,3,346
329995,your easychic family in MILANO,1493251,Simon,,BUENOS AIRES - VENEZIA,45.48461,9.21601,Private room,60,2,42,2015-10-21,0.49,2,0
332277,DAVANTI OSPEDALE SACCO,1693626,Carlo,,SACCO,45.51858,9.1188,Private room,80,1,20,2018-04-22,0.33,1,363
333223,Room Tortona area - Design week 2019,1697947,Andrea,,WASHINGTON,45.45902,9.16438,Private room,90,1,2,2018-04-18,0.02,5,362
335477,Studio 11 Turro M1: 9 min to Duomo! A/C Wi-Fi LCD,836680,Marco,,PADOVA,45.50146,9.22313,Entire home/apt,40,2,18,2019-02-20,0.52,4,347
335516,Studio  12 Turro M1: 9 min to Duomo! A/C Wi-Fi LCD,836680,Marco,,PADOVA,45.50102,9.2223,Entire home/apt,40,2,7,2019-03-10,0.38,4,361
335617,Studio  13 Turro M1: 9 min to Duomo! A/C Wi-Fi LCD,836680,Marco,,PADOVA,45.50131,9.22187,Entire home/apt,40,2,5,2019-02-28,1.49,4,365
336724,Appartamento di charme in Brera,1713099,Vania,,BRERA,45.47793,9.18703,Entire home/apt,180,2,91,2018-09-12,1.22,1,154
341076,APT 15 min TO CENTER 30 min TO EXPO,1730481,Andrea,,PARCO LAMBRO - CIMIANO,45.49677,9.23943,Entire home/apt,62,3,33,2017-04-09,0.39,1,360
343521,La stanza di Mita Cozy B&B in Milan,1743251,Mita,,PAGANO,45.47074,9.15628,Private room,65,1,2,2015-11-09,0.04,1,125
343870,COZY&ROMANTIC DOUBLE PRIVATE BATHROOM@NAVIGLI AREA,1744562,Missy,,TIBALDI,45.4386,9.17903,Private room,39,1,26,2018-09-22,0.31,4,19
344791,RedRoom w/balcony 10min by Navigli,1749204,Dav,,S. CRISTOFORO,45.44,9.15417,Private room,34,2,57,2018-12-29,0.67,7,25
346189,NICE ROOM IN SPACIUOS APARTMENT!,1260241,Chiara,,CITTA' STUDI,45.48136,9.22539,Private room,75,1,9,2017-04-11,0.11,2,0
346190,Nice Room in spacius apartment!,1260241,Chiara,,CITTA' STUDI,45.48231,9.22535,Private room,70,1,1,2014-04-16,0.02,2,365
347886,Design studio Porta Venezia,1763407,Giuseppe,,BUENOS AIRES - VENEZIA,45.47649,9.20701,Entire home/apt,66,10,12,2018-09-30,0.14,1,133
348111,Centralissimo Duomo,1764533,Giuseppe,,DUOMO,45.46267,9.18962,Entire home/apt,80,1,302,2019-03-24,3.55,1,9
348448,"Centric studio (Brera). Piano, great view, parking",326090,Lelio,,BRERA,45.47462,9.18766,Entire home/apt,73,1,45,2019-03-31,0.56,1,342
353631,Wide Attic With a terrace,1790978,Barbara,,TICINESE,45.4553,9.18146,Entire home/apt,150,3,14,2015-04-20,0.16,1,192
357951,Studio apartment in Porta Venezia,447050,Lisa,,BUENOS AIRES - VENEZIA,45.47546,9.20675,Entire home/apt,75,2,44,2019-03-30,0.52,1,285
359022,Large Room in the centre of Milan,164690,Guido&Maddi,,XXII MARZO,45.45713,9.20655,Private room,59,2,117,2016-11-27,1.38,1,0
361030,Huge colorful room close to UDINE metro stop,194790,Paola,,PARCO LAMBRO - CIMIANO,45.49104,9.23208,Private room,29,1,144,2019-04-09,1.70,4,344
364897,Quiet apartment in the docks area,1842096,Claudia,,TICINESE,45.4547,9.1762,Entire home/apt,93,2,41,2018-12-08,0.48,1,363
364919,FASHION BRIGHT CENTRAL  COUSY FLAT,1842857,Silvia,,BUENOS AIRES - VENEZIA,45.48225,9.21359,Entire home/apt,170,7,8,2018-04-23,0.11,1,360
365083,"In the center of Milan, Brera",1843798,Dimitri,,BRERA,45.47622,9.1838,Private room,50,1,1,2016-05-31,0.03,1,360
365118,Amazing and sunny loft in Navigli.,1843823,Benedetta,,S. CRISTOFORO,45.44355,9.15974,Entire home/apt,220,3,10,2016-04-16,0.12,1,365
367858,Cozy flat in Tortona Quarter,1857092,Giuseppe,,TORTONA,45.45407,9.16907,Entire home/apt,80,2,44,2019-02-23,0.60,1,331
370033,Fancy flat 15 min from Duomo,1865237,Mira,,BUENOS AIRES - VENEZIA,45.47713,9.20352,Entire home/apt,100,3,12,2019-03-03,0.25,3,8
374326,CLAIRE'S HOME- tiny cozy bedroom+ private bathroom,1361986,Chiara,,BUENOS AIRES - VENEZIA,45.47117,9.21687,Private room,37,1,0,,,1,78
375429,B&B in loft with terrace 360° Milan,1888685,Paolo Luigi,,PARCO FORLANINI - ORTICA,45.47064,9.24432,Entire home/apt,72,1,3,2016-12-13,0.04,2,346
379677,Loft Bovisa,1813110,Camillo,,BOVISA,45.50126,9.1689,Entire home/apt,500,3,6,2014-04-14,0.07,1,363
381512,CAIROLI TUBE-DUOMO DOWNTOWN-SUPER WIFI-NETFLIX,1889524,Ilaria,,DUOMO,45.46774,9.18215,Entire home/apt,300,1,30,2018-07-22,0.36,2,363
381807,"Accogliente e collegatissimo zona Isola, Milano",1914597,Arianna E Matteo,,ISOLA,45.48625,9.19336,Entire home/apt,50,15,12,2018-09-02,0.25,1,327
383529,appartamento - Corso Buenos Aires,14830515,Illiana,,BUENOS AIRES - VENEZIA,45.48317,9.21388,Entire home/apt,80,3,1,2013-04-13,0.01,1,0
383918,Milan-Navigli: freshly renewd apt,1921860,Raffaello,,TICINESE,45.45034,9.17828,Entire home/apt,130,5,10,2018-11-26,0.12,2,320
384005,Intera casa nel cuore di Brera,1922930,Elena,,BRERA,45.47043,9.18487,Entire home/apt,150,3,4,2018-10-01,0.13,1,363
385378,villa maraviglia room 1,1928994,Cecilia,,SARPI,45.48167,9.17571,Private room,80,2,40,2018-11-14,0.50,2,362
385469,Apartment downtown Milan,1929398,Maddalena,,DUOMO,45.46399,9.17602,Entire home/apt,70,2,2,2016-07-22,0.03,2,58
386235,Lovely apt in the hearth of Milan,1933268,Marco,,LORETO,45.48912,9.2117,Entire home/apt,350,3,2,2013-04-15,0.03,1,0
387435,Single bedroom in green Milan downtown,1938643,Gabri,,PAGANO,45.47232,9.16009,Private room,30,7,33,2019-03-08,0.39,4,44
